colorIdentity,types,convertedManaCost,rarity,flavorText,sentiment,intensity
Red,Creature,4.0,uncommon,"""If they don't pinch, they burn. Can't ya eat any of da bugs here?""",0.0,0.0
Black,Enchantment,5.0,uncommon,"""If they move, kill them. In fact, kill one now to make sure the other understands.""",-0.8442,0.8442
Black,Enchantment,3.0,common,"""If this is the cure, I'd hate to see the disease.""",-0.5719,0.5719
White,Enchantment,3.0,rare,"""If this world could make a wish, it would be to survive the parasites who loot its treasures and threaten its life force.""",0.4404,0.4404
White,Enchantment,4.0,uncommon,"""If we cannot have peace, we will have justice.""",-0.431,0.431
Red,Enchantment,4.0,rare,"""If we cannot live proudly, we die so!""",-0.7973,0.7973
Blue,Creature,5.0,common,"""If we didn't guard our secrets, they wouldn't remain secrets for long.""",0.0,0.0
Green,Sorcery,5.0,uncommon,"""If we die, we die. But we cannot let him win.""",-0.5994,0.5994
White,Creature,5.0,uncommon,"""If we do our duty and uphold our honor, Kjeldor shall stand for a thousand years.""",0.4939,0.4939
White,Enchantment,4.0,rare,"""If we have learned nothing else, we have learned to survive.""",0.0,0.0
Black,Sorcery,1.0,common,"""If we've run out of warm bodies, then cold bodies will have to do.""",0.2263,0.2263
Black,Enchantment,2.0,common,"""If weakness does not exist within the Temur then we shall force it upon them.""",-0.4215,0.4215
White,Creature,3.0,common,"""If what I have seen comes to pass, we will need our guardians more than ever.""",0.0,0.0
Blue,Sorcery,5.0,common,"""If wisdom is a river, then we cup our hands, reach in, and drink from it in sips. The kami, however, are like fish, swimming, breathing, surrounded in its presence.""",0.7184,0.7184
Blue,Creature,3.0,rare,"""If yesterday was two days ago tomorrow, will the day after tomorrow be today or yesterday?""",0.0,0.0
Green,Instant,1.0,common,"""If you believe the God-Pharaoh tests you, charge with me to prove yourself. If you believe he betrayed us all, join with me to fight for tomorrow!""",-0.69,0.69
Green,Sorcery,3.0,common,"""If you call the wolves, ensure you have a worthy hunt, or you may become the hunted.""",0.6705,0.6705
Blue,Creature,1.0,rare,"""If you can build it, we can move it.""",0.0,0.0
White,Instant,2.0,common,"""If you can kill your enemy with the first stroke, you save yourself the labor of the second.""",-0.7184,0.7184
Green,Creature,3.0,common,"""If you can't catch them, cut the trees down from beneath them. Force them to fight on our terms.""",-0.1989,0.1989
White,Enchantment,1.0,uncommon,"""If you can't control your mount, I will control it for you.""",0.0,0.0
Black,Sorcery,2.0,rare,"""If you can't pay your gambling debts, you just might be tomorrow's main attraction at the Grand Coliseum.""",0.7427,0.7427
White,Instant,5.0,rare,"""If you can't save yourself, you fight to give someone else a chance.""",-0.6402,0.6402
White,Creature,2.0,uncommon,"""If you cannot turn your enemy's strength to weakness, then make that strength your own.""",0.5574,0.5574
Green,Creature,4.0,uncommon,"""If you climb Skyfang Peak, avoid the pass. Generations of apes made that trail, and they don't tolerate trespassers.""",-0.296,0.296
Red,Creature,4.0,common,"""If you come across a raptor in the city, stay perfectly still. At least then you'll be well rested when you die.""",0.743,0.743
White,Instant,2.0,rare,"""If you do it right, they'll never know what hit them.""",0.0,0.0
Red,Creature,2.0,common,"""If you do not feel the thrill of battle, alive like a flame, you will never triumph.""",0.1002,0.1002
Green,Sorcery,1.0,common,"""If you don't have a destination in mind, the route is all that matters.""",0.0,0.0
Black,Creature,3.0,rare,"""If you don't have your health, you don't have anything.""",0.0,0.0
Red,Creature,4.0,uncommon,"""If you don't hit your adversaries while they're down, they might get up again.""",0.1877,0.1877
Green,Creature,3.0,common,"""If you don't speak wolf, allow me to translate: 'One step closer and I'll rip out your throat.'""",-0.1695,0.1695
Green,Creature,3.0,uncommon,"""If you ever want to leave this forest, now's the time.""",0.0258,0.0258
Green,Instant,1.0,uncommon,"""If you fear poisons, it is because you are ignorant of them.""",-0.8402,0.8402
White,Creature,2.0,uncommon,"""If you hire a sell-sword, you'd better watch your back. Hire me, and I'll watch it for you.""",0.4404,0.4404
Blue,Creature,2.0,uncommon,"""If you keep to the shallows, you'll never learn the secrets of the depths.""",0.0,0.0
Red,Creature,1.0,uncommon,"""If you kids don't stop that racket, I'm turning this expedition around right now!""",0.2914,0.2914
Red,Creature,7.0,rare,"""If you live on a giant's back, there's only one individual you'll ever need to fear.""",0.0,0.0
Black,Creature,6.0,common,"""If you manage to get to the heart of the bog, you'll find things there that make zombies seem downright lovable.""",0.0,0.0
Red,Instant,3.0,rare,"""If you must die today, make your death worthy of legend.""",-0.7096,0.7096
White,Creature,3.0,rare,"""If you need an example to lead others to the front lines, consider the precedent set.""",0.0,0.0
Blue,Artifact,3.0,uncommon,"""If you need to disappear for a while, I know a place.""",-0.2263,0.2263
White,Instant,2.0,common,"""If you refuse to see the light, then you will feel it.""",-0.296,0.296
Blue,Instant,1.0,common,"""If you see ghostly lights by the river, eat three twigs of marshroot to ward off kelpies.""",0.0,0.0
Red,Creature,3.0,common,"""If you think twice, I'll cut twice.""",-0.2732,0.2732
White,Creature,3.0,rare,"""If you think you are brave enough to walk the path of honor, follow me into the dragon's den.""",0.765,0.765
Green,Creature,5.0,mythic,"""If you think you've killed one, guess again.""",-0.6705,0.6705
Green,Sorcery,5.0,uncommon,"""If you think yourself a chief, then prove your might.""",0.0,0.0
Green,Creature,5.0,common,"""If you threaten its territory, it produces spores. Actually, no matter what you do, it produces spores.""",-0.5719,0.5719
Black,Creature,3.0,common,"""If you want them dead, buy some poison. If you want them to have the worst day of their life before dying, then let's talk price.""",-0.9062,0.9062
Green,Creature,4.0,common,"""If you want to test wisdom, offer it to fools and watch how they tear it up.""",0.128,0.128
Blue,Enchantment,3.0,rare,"""If you want to truly test your survival skills, walk the Obelisk Path when the drakes are feeding.""",0.4939,0.4939
Blue,Instant,3.0,uncommon,"""If you weren't born with it, you don't need it.""",0.0,0.0
Black,Instant,3.0,common,"""If you will not pour your drink out for me, I shall pour mine out for you.""",0.0,0.0
White,Creature,1.0,rare,"""If you wish to produce the finest work, you must start with the finest tools.""",0.4019,0.4019
Black,Creature,5.0,rare,"""If you would taste the wisdom of the oni, be prepared to salt it with your blood.""",0.6486,0.6486
Red,Instant,1.0,common,"""If you'd been there, you would've run from that deer, too!""",0.0,0.0
White,Instant,3.0,uncommon,"""If you're as loyal as you claim, now is the time to show it.""",0.4767,0.4767
Red,Instant,1.0,uncommon,"""If you're gonna lose, at least make sure they don't win as much.""",-0.538,0.538
Red,Creature,6.0,uncommon,"""If you're in Akoum and you glimpse a shadow overhead, the worst thing you can do is duck.""",-0.6249,0.6249
Blue,Instant,3.0,common,"""If you're in our home, we expect you to mind your manners.""",0.0,0.0
Red,Creature,3.0,uncommon,"""If you're not having fun, what's the point of living forever?""",-0.4023,0.4023
Green,Creature,4.0,uncommon,"""If you're not prepared to fight, you'd best be prepared to die.""",0.6189,0.6189
Black,Creature,1.0,uncommon,"""If you're not surrounded by decadence, my question to you is—why not?""",0.0,0.0
White,Creature,3.0,uncommon,"""If you're starving, eat your horses, your dead, or yourself—but never eat your dog.""",-0.7964,0.7964
White,Creature,1.0,common,"""If you've been at this as long as I have, nothing can surprise you. That's the hope, at least.""",0.27,0.27
Black,Sorcery,1.0,uncommon,"""If you've done nothing wrong, you have nothing to fear.""",0.3724,0.3724
Red,Enchantment,3.0,rare,"""If your blood doesn't run hot, I will make it run in the sands!""",0.0,0.0
Black,Creature,6.0,uncommon,"""Ihsan, the weak. Ihsan, the fallen. Ihsan, the betrayer. He has brought shame to the Serra Paladins where none existed before. May his suffering equal his betrayal.""",-0.891,0.891
Blue,Creature,2.0,common,"""Ill luck and poor geography caught the Thalakos between us and the Dauthi.""",-0.4404,0.4404
White,Instant,1.0,common,"""Illusion is a crutch for those with no grounding in reality.""",-0.296,0.296
Blue,Creature,3.0,common,"""Illusion is a handy but fragile medium. Use it only in a pinch, or against the dim-witted.""",0.0,0.0
White,Instant,1.0,common,"""Imagine a dove flying through smoke. Does the dove injure the smoke? Does the smoke impede the dove?""",0.0,0.0
Green,Creature,4.0,common,"""Imagine a gigantic pine cone that's extremely territorial and always in a foul mood.""",0.0,0.0
Black,Sorcery,1.0,uncommon,"""Imagine having your skeleton extracted through your ear, one bone at a time.""",0.0,0.0
White,Instant,4.0,common,"""Impossible! How could they overwhelm us? We had barricades, war elephants, . . . and they were barely a tenth of our number!""",-0.7339,0.7339
White,Instant,4.0,common,"""Impossible! How could they overwhelm us? We had barricades, war elephants, … and they were barely a tenth of our number!""",-0.7339,0.7339
Blue,Creature,4.0,rare,"""Impress me.""",0.4404,0.4404
Red,Sorcery,5.0,common,"""Impressive.""",0.0,0.0
Blue,Creature,5.0,uncommon,"""Improvement is a consequence of practice.""",0.4588,0.4588
Blue,Sorcery,2.0,common,"""Improvisation is for those who failed to prepare.""",-0.5106,0.5106
White,Sorcery,3.0,common,"""Impurities must be pounded out.""",0.0,0.0
Green,Creature,2.0,common,"""In Llanowar, we tend the forest's boughs and branches. In Yavimaya, we are a part of them.""",0.0,0.0
White,Creature,2.0,uncommon,"""In Rath,""",0.0,0.0
Blue,Creature,3.0,uncommon,"""In a daze, I woke and looked upon the battlefield, where I could swear my dreams were laying waste to the enemy.""",-0.5574,0.5574
White,Creature,1.0,common,"""In a healing world I write—I, who will never be healed. Let my last gift be one of memory: from a thousand lost thoughts, choose one, and remember my name.""",0.1531,0.1531
Red,Creature,1.0,common,"""In a town shaped by the subtle machinations and political intrigue of its guilds, it's reassuring to see a goblin waving his torch and screaming about some nonsense or other.""",-0.3818,0.3818
Red,Enchantment,3.0,rare,"""In a war for survival, Dominaria itself became a weapon. The malice is gone, but the danger remains.""",-0.8248,0.8248
Blue,Creature,4.0,rare,"""In a world of untruths, the living lie rules.""",0.0,0.0
Green,Creature,8.0,mythic,"""In ages past, bargains were struck and promises were made. Now we must collect on our debt. Begin the hymns.""",-0.2263,0.2263
Green,Creature,4.0,uncommon,"""In all my years in Llanowar I never understood where trees fit in. They are revered by elves and watered on by dogs.""",0.7003,0.7003
Black,Creature,3.0,uncommon,"""In crafting intelligent Thrulls to assist in sacrifices, Sahr inadvertantly set the stage for the Thrull Rebellion.""",0.4588,0.4588
Red,Enchantment,5.0,rare,"""In desperation, Konda sent warriors to parley with the ogre-magi. No one knows whether they were slaughtered at Shinka or if they even reached its bloodstained walls.""",-0.6369,0.6369
Green,Instant,4.0,common,"""In each of us is the strength of all of us.""",0.4939,0.4939
White,Enchantment,4.0,uncommon,"""In every one of you I see a hero's heart.""",0.0,0.0
Red,Creature,5.0,common,"""In every other mind, the battle was lost. General Takeno alone was not touched by despair. Drawing his blade, he was attack and rallying cry in one.""",-0.879,0.879
Blue,Creature,2.0,common,"""In its gaze I saw no mercy, no recognition that I was worthy to exist.""",0.25,0.25
Black,Creature,3.0,uncommon,"""In its natural habitat, the goblin is stupid, yet devious. Now it's stupid, devious, and powerful.""",-0.6486,0.6486
Green,Creature,3.0,common,"""In its time of hardship, all of Zendikar cries out in pain. Are you listening?""",-0.8074,0.8074
White,Creature,3.0,rare,"""In memories, we can find our deepest reserves of strength.""",0.0,0.0
Green,Sorcery,2.0,common,"""In my downtime I used to paint the vistas. Now the vistas disappear faster than my downtime.""",-0.2263,0.2263
White,Creature,6.0,rare,"""In my dreams, I hear the voices of my future selves who have died in times yet to come. I use that knowledge to avoid those dark futures and continue my search for peace.""",-0.4767,0.4767
White,Instant,2.0,uncommon,"""In my moment of death, I had a vision of the world, dark and unwelcoming. I wanted to hide in the deepest meander, but the light pulled me back.""",-0.3182,0.3182
Green,Creature,5.0,rare,"""In our hands, the natural world finds more beauty than nature alone could ever provide.""",0.6801,0.6801
White,Enchantment,5.0,rare,"""In our war Heliod gave mortals some favor, yet other times he withheld aid. Are we still no more than game pieces to him?""",-0.5267,0.5267
Red,Sorcery,4.0,rare,"""In our war with the kami, we annihilate what is our own. Do they too suffer ruination in their hidden world?""",-0.9022,0.9022
Red,Sorcery,5.0,common,"""In raiding and plundering, be like fire, in immovability like a mountain.""",0.3818,0.3818
Blue,Enchantment,3.0,common,"""In secrecy is strength. None can oppose one who cannot be found.""",0.4939,0.4939
Red,Creature,4.0,uncommon,"""In some cultures, elephants are ridden by those in power. I don't think a mere elephant would even be noticed in Keld.""",0.0,0.0
Blue,Creature,2.0,common,"""In terms of intelligence, homunculi are somewhere between humans and skaabs—clever enough to follow more complex orders, but dim enough to not question them.""",0.2617,0.2617
Red,Creature,2.0,common,"""In the Hour of Glory, the gods and the untested will prove their worth before the God-Pharaoh.""",0.6597,0.6597
Green,Creature,6.0,rare,"""In the Mwonvuli you must divide your attention between what hangs overhead and what lies underfoot.""",-0.4215,0.4215
Green,Creature,3.0,common,"""In the Tarkir I once knew, the Abzan revered their ancestor trees. Now, as Dromoka, they cut their finest groves to make weapons.""",0.296,0.296
White,Creature,3.0,common,"""In the afterlife, I'll have no need of sleep. And until then, I have no time for it!""",-0.5707,0.5707
White,Creature,5.0,rare,"""In the death of the foe lies the resurrection of the faithful.""",-0.8625,0.8625
Blue,Instant,2.0,rare,"""In the disarray of battle, an enemy's attack may be your most convenient weapon.""",-0.6908,0.6908
Black,Enchantment,3.0,uncommon,"""In the drowsy dark cave of the mind dreams build their nest with fragments dropped from day's caravan.""",0.4019,0.4019
Black,Enchantment,3.0,rare,"""In the drowsy dark cave of the mind, dreams build their nest with fragments dropped from day's caravan.""",0.4019,0.4019
Green,Creature,2.0,common,"""In the end, the same soil lies atop the field, within the mountain, and under the sea.""",-0.4215,0.4215
Black,Creature,3.0,common,"""In the face of every one I see the Baron.""",0.0,0.0
Red,Instant,3.0,common,"""In the forest, fires light the sky as black clouds unfold their weight.""",0.0,0.0
Black,Sorcery,4.0,uncommon,"""In the game of conquest, who cares about the pawns if the king yet reigns?""",0.4588,0.4588
White,Instant,4.0,uncommon,"""In the gathering there is strength for all who founder, renewal for all who languish, love for all who sing.""",0.8126,0.8126
Green,Creature,5.0,common,"""In the heart of Llanowar the magic is so strong that trees cannot stay rooted.""",0.6418,0.6418
Green,Enchantment,1.0,common,"""In the midst of horror beyond imagining, I still see things that lift my heart.""",-0.5719,0.5719
White,Sorcery,3.0,uncommon,"""In the name of peace, moderation, and decency—wipe them all out!""",0.5848,0.5848
Green,Creature,4.0,common,"""In the soil of leadership sprout the seeds of immortality.""",0.0,0.0
White,Instant,3.0,uncommon,"""In the thick of battle, you must keep your wits about you. Yelling a lot helps, too.""",0.0,0.0
Green,Creature,6.0,rare,"""In the waning moments of war, humanity's most ancient ancestors return. But whose side shall they make their own?""",-0.3506,0.3506
White,Creature,2.0,common,"""In the wild, white fur like mine is an aberration. We lack natural camouflage, but the inability to hide encourages other strengths.""",0.0258,0.0258
White,Creature,2.0,common,"""In the wilds, your true training will begin.""",0.4215,0.4215
White,Creature,3.0,rare,"""In these halls there is no pass or fail. Your true test comes with the first full moon.""",-0.4404,0.4404
White,Creature,3.0,uncommon,"""In these troubled times, we alone carry the hope of reconciliation between Elf and Human.""",-0.2732,0.2732
White,Creature,1.0,common,"""In these, our final days, I offer this. Though we could not save Icatia, we gave our children time to grow, and love, before it fell.""",0.3761,0.3761
Red,Creature,2.0,uncommon,"""In this blessed structure let the very walls baptize themselves in the blood of intruders.""",0.5994,0.5994
Black,Creature,4.0,common,"""In this dark place, yes, I am afraid of my own shadow.""",0.4019,0.4019
Black,Creature,1.0,common,"""In this line of work, you've got to know how to squirrel things away. Quite literally, in my case.""",0.0,0.0
White,Instant,2.0,uncommon,"""In time our realm will shine again. But it will gleam only when we scour away the taint of doubt.""",0.0,0.0
Green,Creature,3.0,rare,"""In times like these, be particularly wary of those who claim they can save your soul.""",0.6908,0.6908
White,Creature,5.0,uncommon,"""In times like these, people need to be reminded of compassion.""",0.3612,0.3612
Green,Instant,5.0,rare,"""In times of need, the forest creates its own protectors.""",0.2732,0.2732
White,Creature,3.0,common,"""In times of war the victors rarely save their best for last.""",-0.8719,0.8719
White,Creature,2.0,rare,"""In troubled times, we all need someone to watch our back.""",-0.4588,0.4588
White,Sorcery,3.0,common,"""In you go, big guy. Watch your head.""",0.0,0.0
Black,Sorcery,3.0,rare,"""In your final breath you still have something to offer Phyrexia.""",0.0,0.0
Blue,Creature,3.0,rare,"""Industry without artistry is just a fancy way to fill the junkyard.""",0.0,0.0
Red,Creature,3.0,rare,"""Infiltrate and infuriate!""",0.0,0.0
Blue,Creature,3.0,uncommon,"""Inform our allies in the Tenth and throw the circuit. It's about to get weird.""",0.0,0.0
Blue,Creature,5.0,uncommon,"""Information equals profits. Our merchants sell it, or our pirates use it.""",0.4404,0.4404
Red,Enchantment,5.0,uncommon,"""Information is a powerful weapon.""",0.4215,0.4215
White,Instant,1.0,common,"""Inhale life. Exhale pain.""",0.0,0.0
Red,Enchantment,2.0,common,"""Inhale. Kill. Exhale.""",-0.6908,0.6908
Black,Creature,1.0,rare,"""Innistrad's ghoulcallers are talented enough, but let me show you what someone with real power can create.""",0.2846,0.2846
Red,Enchantment,2.0,rare,"""Innocent thorns can fill the air with your bloodscent. Don't stray from the path.""",0.34,0.34
Blue,Enchantment,4.0,rare,"""Inside these walls, peace; outside, sharks. You choose.""",0.5423,0.5423
Green,Artifact,3.0,rare,"""Inspiration is found by looking outward.""",0.5267,0.5267
Green,Creature,1.0,rare,"""Inspiration is reciprocal: we all have a responsibility to each other to create.""",0.5267,0.5267
Green,Enchantment,3.0,rare,"""Instinct is undaunted by terror, unchained by logic. It is the path from which all other paths diverge.""",-0.5267,0.5267
Green,Enchantment,3.0,uncommon,"""Instincts to guide. Strength to overcome.""",0.4939,0.4939
White,Instant,1.0,common,"""Interesting . . . This mortal being seems to have been blessed with Qilin's essence.""",0.765,0.765
Blue,Creature,4.0,common,"""Interrogation is an unnecessary step for acquiring information.""",0.0,0.0
Black,Sorcery,2.0,common,"""Into amethyst, I pour
Envy's shadow, sorrow's gleam.
Lure the one whose scorn I bore
That I may hear one final scream.""",-0.5719,0.5719
Blue,Creature,9.0,rare,"""Into its maw went the seventh sea, never to be seen again while the world remains.""",0.0,0.0
Red,Sorcery,2.0,uncommon,"""Intruders in the lands of Atarka have but two choices: be consumed by fire, or be consumed by maw.""",-0.4767,0.4767
Blue,Instant,2.0,uncommon,"""Is cold merely the absence of heat, or a force unto itself? Would a display of its power help you decide?""",0.4696,0.4696
Black,Instant,5.0,common,"""Is it better to be a fool or a coward? Fools may get things done occasionally, but cowards live longer.""",-0.4767,0.4767
Black,Creature,2.0,common,"""Is it hopeless? When wave upon wave of our dead return as mindless flesh-eaters to claw upon Thraben's walls? We're too busy cutting them down to indulge ourselves in such philosophical foppery.""",-0.9013,0.9013
Red,Enchantment,5.0,uncommon,"""Is it just me, or does that meteor have teeth?""",0.0,0.0
Blue,Creature,3.0,common,"""Is it merchants or is it pirates?""",0.0,0.0
Red,Creature,2.0,common,"""Is it the stomping kind or the munching kind?""",0.5267,0.5267
Green,Creature,3.0,uncommon,"""Is it true that the apes wear furs of gold when they marry?""",0.4215,0.4215
Black,Instant,1.0,common,"""Is it true the evil that people do follows them into death? Let's find out.""",-0.7579,0.7579
Black,Sorcery,3.0,uncommon,"""Is it worse to walk while dead, or to be buried alive? I have witnessed both.""",-0.7003,0.7003
Green,Creature,5.0,uncommon,"""Is it wrong to go straight for what you want? Sneaking is for cats and goblins.""",-0.2263,0.2263
Blue,Enchantment,5.0,rare,"""Is the inevitable any less miraculous?""",0.0,0.0
Blue,Creature,5.0,common,"""Is the maze itself a phantom? Or is one as real as the other? Perhaps I am as mad as the dragon.""",-0.5514,0.5514
Black,Enchantment,1.0,common,"""Is there anything in Guul Draz that doesn't suck the life out of you?""",0.3412,0.3412
Blue,Instant,1.0,rare,"""Is this what you found, Tamiyo?""",0.0,0.0
Red,Creature,1.0,uncommon,"""Isn't he on our side?""",0.0,0.0
Blue,Creature,4.0,common,"""It always amazes me what perfectly good things people throw away.""",0.8834,0.8834
White,Creature,2.0,common,"""It appears some mummies have begun to observe a hierarchy all their own.""",0.0,0.0
Green,Creature,7.0,uncommon,"""It appears that nature has risen against us.""",0.0,0.0
Blue,Creature,5.0,common,"""It augments anamnesis. What is so confusing about that?""",-0.3593,0.3593
Green,Creature,6.0,rare,"""It blinked, and flower petals fell like tears. Harthar, sensing weakness, attacked—and his blood fell like petals.""",0.0772,0.0772
Red,Instant,5.0,uncommon,"""It came on as quickly as taking in a breath of air. Cathars who had fought shoulder to shoulder were at each other's throats. They were not themselves.""",-0.3182,0.3182
White,Creature,5.0,common,"""It came to rest upon the angel's arm, and then the weight of their gazes fell upon me.""",0.0,0.0
White,Enchantment,3.0,common,"""It could be worse,""",0.0,0.0
Blue,Creature,2.0,rare,"""It followed me home. Can I keep it?""",0.0,0.0
Green,Creature,4.0,common,"""It had a mouth like that of a great beast, and gnashed its teeth as it strained to reach us. I am thankful it possessed no means of locomotion.""",0.7579,0.7579
Green,Creature,4.0,common,"""It has a quickness about it that seems unnatural for its large size, yet its hunger is about right.""",-0.25,0.25
Red,Creature,3.0,rare,"""It has been my experience that disasters like to strike in pairs.""",-0.3818,0.3818
Black,Enchantment,1.0,common,"""It helps pass the time until you die.""",0.3818,0.3818
Black,Enchantment,1.0,common,"""It helps you pass the time until you die.""",0.3818,0.3818
Red,Creature,3.0,uncommon,"""It hunts grand game for Atarka, and when the time comes, it will become a mighty feast.""",0.4588,0.4588
Black,Sorcery,1.0,common,"""It hurts more if you think about it.""",-0.4767,0.4767
White,Enchantment,3.0,rare,"""It is *not* sad,""",0.0,0.0
Green,Enchantment,3.0,uncommon,"""It is Freyalise, walking on the world.""",0.0,0.0
Black,Instant,2.0,rare,"""It is a narrow line between justice and vengeance.""",0.5267,0.5267
Black,Enchantment,3.0,rare,"""It is a rough road that leads to the heights of greatness.""",0.0,0.0
Red,Instant,4.0,uncommon,"""It is a slaughter, the death of a sea. Never speak of it again.""",-0.5994,0.5994
Blue,Enchantment,6.0,uncommon,"""It is better to take what does not belong to you than to let it lie around neglected.""",0.4404,0.4404
White,Instant,2.0,rare,"""It is done.""",0.0,0.0
White,Creature,5.0,mythic,"""It is evidence that some pure corner of the world must still exist.""",0.0,0.0
Blue,Instant,2.0,common,"""It is fascinating to see how the people of this plane replicate magical techniques without a natural gift. Also frustrating.""",-0.0041,0.0041
Green,Instant,2.0,common,"""It is folly to believe your precious inventions will endure. All things return to the soil.""",0.5719,0.5719
Blue,Instant,3.0,common,"""It is forbidden. Asking why is irrelevant.""",-0.4215,0.4215
Black,Sorcery,3.0,uncommon,"""It is from Phage that this evil springs, and to her it shall return.""",-0.7391,0.7391
White,Creature,2.0,common,"""It is hope, hooved and winged.""",0.4404,0.4404
Black,Sorcery,3.0,uncommon,"""It is impious to admit, but I do enjoy pirate blood. Something in the salty tang of it, the spice of rebellion.""",0.6908,0.6908
Green,Sorcery,2.0,common,"""It is in our nature to recognize beauty, but to repeat it—ah, that is another feat altogether.""",0.34,0.34
Red,Instant,1.0,common,"""It is most honorable to use every part of the animals we kill . . . especially if we use them to annihilate our enemies.""",-0.228,0.228
Green,Creature,2.0,common,"""It is my honor to keep safe Tel-Jilad's secrets, not to know them.""",0.7269,0.7269
Blue,Sorcery,2.0,common,"""It is nature that gives us our boundaries and nature that enforces them.""",0.0,0.0
White,Creature,1.0,common,"""It is not a choice I make, to have this guard. It is the choice of my people, and my duty to them.""",0.0,0.0
Blue,Creature,10.0,mythic,"""It is not a goal, but a process—the process of creating the perfect Phyrexia.""",0.8338,0.8338
Red,Sorcery,2.0,common,"""It is not in me to tread lightly.""",0.0,0.0
Blue,Creature,4.0,common,"""It is not just our people I try to rescue. It is our culture, and our hope that we can return to greatness.""",0.7351,0.7351
White,Creature,3.0,common,"""It is not my place to question Radiant's rule. I exist to enforce her will.""",0.0,0.0
White,Sorcery,2.0,uncommon,"""It is not punishment. I am simply making things as they should be.""",0.3875,0.3875
White,Enchantment,3.0,rare,"""It is not sad,""",0.0,0.0
White,Creature,3.0,rare,"""It is not yet time.""",0.0,0.0
White,Instant,2.0,uncommon,"""It is not your place to rule, Radiant. It may not even be mine.""",0.4767,0.4767
Green,Creature,2.0,common,"""It is not yours to hunt, mortal. Be content with its beauty alone.""",0.5859,0.5859
White,Sorcery,2.0,rare,"""It is only fitting that one such as I should die in pursuit of knowledge.""",-0.5994,0.5994
Green,Creature,3.0,uncommon,"""It is our third day of travel on the Yavimaya River, and still these creatures plague us. Davin Lansson, our naturalist, has facetiously labeled them 'gnats,' and the name has stuck.""",0.0,0.0
White,Creature,7.0,common,"""It is sacrilege to confine a gargantuan to the grinding of straight lines. I will pray that it remembers who is the master of this land.""",0.4939,0.4939
Black,Sorcery,2.0,uncommon,"""It is terrible how one brief action can live forever in memory.""",-0.4767,0.4767
Green,Instant,2.0,uncommon,"""It is the art of convincing someone to live.""",0.4019,0.4019
White,Sorcery,4.0,uncommon,"""It is the duty of the strong to oppose any who threaten the weak.""",0.1779,0.1779
Green,Sorcery,5.0,rare,"""It is the fate of the weak to fall.""",-0.4404,0.4404
Black,Creature,2.0,uncommon,"""It is the nature of evil to turn you against yourself.""",-0.6597,0.6597
Red,Sorcery,2.0,uncommon,"""It is the nature of humanity not to worry about tomorrow, especially when there's a good chance they won't live to see the end of today.""",0.7629,0.7629
Red,Enchantment,3.0,rare,"""It is the nature of souls that they burn more brightly together than apart.""",0.4201,0.4201
Black,Instant,3.0,common,"""It is the way of most wizards to begin by exiling themselves and to end by exiling everyone else.""",0.0,0.0
Green,Enchantment,3.0,rare,"""It is true that we monks hold the key to paradise, but most don't understand that the paradise we guard is the one within.""",0.8834,0.8834
Green,Creature,3.0,uncommon,"""It is useful to be able to speak to the trees. But it is truly wondrous to be able to listen to them.""",0.7003,0.7003
Red,Sorcery,3.0,rare,"""It is vain to look for a defense against lightning.""",-0.3182,0.3182
Blue,Enchantment,1.0,common,"""It isn't for fighting. It's for when the fighting's gone bad.""",0.2755,0.2755
Black,Creature,3.0,common,"""It keeps some out, yes. It also keeps others in!""",0.4574,0.4574
Black,Creature,3.0,uncommon,"""It looks like you could use some protection of your own.""",0.3612,0.3612
White,Enchantment,1.0,rare,"""It matters not if the gods hear my prayers. Jamuraa does.""",0.0258,0.0258
White,Instant,3.0,common,"""It may not look like much, but it's a good old door with strong wards. It'll hold.""",0.8292,0.8292
Green,Creature,7.0,uncommon,"""It might fight the Eldrazi, but don't mistake it for a companion, Gideon. It's not interested in your concept of strength through unity.""",0.4883,0.4883
Red,Creature,4.0,common,"""It moved this way, an' that way, an' then before I could stick it, it jumped over my head an' was gone.""",0.0,0.0
Black,Creature,1.0,common,"""It offers but a taste of the power that the shadows have to offer. But even that is a heady wine indeed.""",0.0,0.0
Red,Creature,3.0,common,"""It only short jump. You go first.""",0.0,0.0
Blue,Creature,2.0,common,"""It preys on other birds. And drakelings. And drakes. Pretty much anything that crosses its flight path is fair game.""",0.6705,0.6705
Green,Creature,2.0,rare,"""It preys on those who would spy on our lands, so we never prey on it.""",0.0,0.0
Red,Creature,2.0,common,"""It remains unclear whether the akki shamans could in fact create storms or simply predicted them.""",0.0258,0.0258
Blue,Creature,5.0,uncommon,"""It rose above our heads, above the ship, and still higher yet. No foggy, ice-laden sea in the world could frighten me more.""",-0.5574,0.5574
Black,Sorcery,3.0,common,"""It saddens me to lose a source of inspiration. This one seemed especially promising.""",-0.296,0.296
Blue,Creature,2.0,uncommon,"""It seemed an easy thing, to step into the nothingness, to fall, to die. But then, for an instant, I saw it, eyes filled with endless sorrow, and I turned back to face my pain.""",-0.7269,0.7269
Blue,Creature,4.0,mythic,"""It seemed so real!""",0.0,0.0
White,Creature,2.0,uncommon,"""It seems that each time I visit Lord Konda his guards are more on edge, perhaps even more eager for the war to reach them.""",-0.2516,0.2516
White,Creature,3.0,uncommon,"""It seems there's even better hunting down here.""",0.4404,0.4404
